襯	Fütterung		Kleidung	d
叉	Gabel			
丫	Gabelung			
膽	Gallenblase			
鵝	Gans			
頗	ganz			
帘	Gardine		Ladenschild	w
簾	Gardine		Vorhang	a
涮	garen			
飾	garnieren			
園	Garten		Zoo	w
圃	Garten		Gemüsebeet	w
耨	Gartenhacke			
氣	Gas			
巷	Gasse		Fahrspur	w
衚	Gasse		Ab	p
衕	Gasse		aB	p
坊	Gasse		Stadtteil	w
客	Gast			
澀	Gatter			
給	geben			
疇	Gebiet			
彎	gebogen			
生	geboren werden			
以	gebrauchen			
誕	Geburt			
辰	Geburtstag			
棟	Gebäude			
費	Gebühr			
叢	Gebüsch			
昌	gedeihend			
懷	gedenken			
詩	Gedicht			
賦	Gedicht schreiben			
宜	geeignet			
危	Gefahr			
虜	gefangen nehmen			
禽	Geflügel			
凝	gefrieren			
險	gefährlich		Versicherung	w
殆	gefährlich		fast	a
偽	gefälscht			
獄	Gefängnis			
壺	Gefäß			
感	Gefühl			
彼	Gegenseite			
互	gegenseitig			
秘	Geheimnis			
奧	geheimnisvoll			
拘	gehemmt			
走	gehen			
腦	Gehirn			
遵	gehorchen			
鬼	Geist			
瘋	geisteskrank			
婪	geizig		habgierig	w
吝	geizig		Ab	p
嗇	geizig		aB	p
摳	geizig		ausgraben	w
飯	gekochter Reis			
逍	gelassen			
黃	gelb			
錢	Geld			
鈔	Geldschein			
遇	Gelegenheit			
儒	Gelehrte			
士	Gelehrter			
場	Gelände			
闌	Geländer			
共	gemeinsam			
徐	gemächlich			
菜	Gemüse		aB	p
蔬	Gemüse		Ab	p
恰	genau			
將	General			
世	Generation		Welt	w
輩	Generation		Lebenszeit	a
癒	genesen			
脖	Genick			
享	genießen			
夠	genug			
齊	geordnet			
直	gerade			
甫	gerade jetzt			
爽	geradeheraus			
義	Gerechtigkeit			
庭	Gerichtshof			
訟	Gerichtsverfahren			
蔑	geringschätzen			
器	Gerät			
敞	geräumig			
噼	Geräusch		pfeifen	w
謠	Gerücht			
綱	Gerüst			
全	gesamt			
唄	Gesang		buddhistisch	d
史	Geschichte			
巧	geschickt			
性	Geschlecht			
鋒	geschliffen			
味	Geschmack			
速	Geschwindigkeit		Autobahn	w
馳	Geschwindigkeit		schnell fahren	w
膨	geschwollen		Inflation	w
腫	geschwollen		Tumor	w
瘡	Geschwür			
店	Geschäft			
律	Gesetz			
臉	Gesicht		Prestige	w
顏	Gesicht		Farbe	w
祟	Gespenst			
囉	gesprächig			
形	Gestalt			
架	Gestell			
昨	gestern			
健	gesund			
康	Gesundheit			
禾	Getreide		Heuballen	w
麥	Getreide		Mikrofon	w
穀	Getreide		Google	n
閘	Getriebe			
飲	Getränk			
賺	Gewinn machen			
贏	gewinnen			
某	gewisse			
兢	gewissenhaft			
賜	gewähren			
凡	gewöhnlich			
慣	gewöhnt			
貪	gierig			
注	gießen			
毒	Gift			
頂	Gipfel		Dach	w
峰	Gipfel		Höchstwert	w
輝	Glanz			
玻	Glas		Ab	p
璃	Glas		aB	p
平	glatt			
信	glauben			
同	gleich			
勻	gleichmäßig			
滑	gleiten			
鈴	Glocke			
耀	glorreich			
盯	glotzen			
福	Glück			
吉	glücklich			
賭	Glücksspiel			
瑞	glücksverheißend			
金	Gold			
鑼	Gong			
拜	Gottesdienst			
神	Gottheit			
墓	Grab		aB	p
